序号,定位时间,行驶速度,行驶里程,已停留/总停留,车辆状态,地理位置,车牌号码,行驶方向,location
12735,2023-07-21 14:50:16,0 km/h,152.3 km,1分30秒 / 2分30秒,在线 / 停车 / ACC开,"福建省厦门市翔安区内厝镇上塘路300号;上塘路,上塘路-莲院路交叉路口;厦门市同安区内厝卫生院发热门诊,文转饭店,内厝卫生院新冠疫苗接种点",闽DU5C37,正北(0),"118.274368,24.669765"
12736,2023-07-21 14:50:46,0 km/h,152.3 km,2分 / 2分30秒,在线 / 停车 / ACC开,"福建省厦门市翔安区内厝镇上塘路300号;上塘路,上塘路-莲院路交叉路口;厦门市同安区内厝卫生院发热门诊,文转饭店,内厝卫生院新冠疫苗接种点",闽DU5C37,正北(0),"118.274368,24.669765"
12737,2023-07-21 14:51:16,0 km/h,152.3 km,2分30秒 / 2分30秒,在线 / 停车 / ACC开,"福建省厦门市翔安区内厝镇上塘路300号;上塘路,上塘路-莲院路交叉路口;厦门市同安区内厝卫生院发热门诊,文转饭店,内厝卫生院新冠疫苗接种点",闽DU5C37,正北(0),"118.274368,24.669765"
12738,2023-07-21 14:51:39,6 km/h,152.3 km, ,在线 / 行驶,"福建省厦门市翔安区内厝镇;X411(上塘路);厦门市翔安区内厝卫生院,内厝派出所,好客来",闽DU5C37,偏西(286),"118.274324,24.669772"
12739,2023-07-21 14:51:40,5 km/h,152.3 km, ,在线 / 行驶,"福建省厦门市翔安区内厝镇;X411(上塘路);厦门市翔安区内厝卫生院,内厝派出所,好客来",闽DU5C37,偏西(264),"118.274307,24.669773"
12740,2023-07-21 14:51:43,6 km/h,152.3 km, ,在线 / 行驶,"福建省厦门市翔安区内厝镇;X411(上塘路);厦门市翔安区内厝卫生院,内厝派出所,好客来",闽DU5C37,偏西(250),"118.274269,24.669766"
12741,2023-07-21 14:51:46,0 km/h,152.3 km,0秒 / 0秒,在线 / 停车 / ACC开,"福建省厦门市翔安区内厝镇;X411(上塘路);厦门市翔安区内厝卫生院,内厝派出所,好客来",闽DU5C37,正北(0),"118.274253,24.669763"
12742,2023-07-21 14:51:48,5 km/h,152.3 km, ,在线 / 行驶,"福建省厦门市翔安区内厝镇;X411(上塘路);厦门市翔安区内厝卫生院,内厝派出所,好客来",闽DU5C37,偏东(79),"118.274279,24.669765"
12743,2023-07-21 14:51:58,10 km/h,152.3 km, ,在线 / 行驶,"福建省厦门市翔安区内厝镇;X411(上塘路);厦门市翔安区内厝卫生院,内厝派出所,好客来",闽DU5C37,东南(143),"118.274339,24.66976"
12744,2023-07-21 14:52:03,10 km/h,152.4 km, ,在线 / 行驶,"福建省厦门市翔安区内厝镇上塘路300号;上塘路,上塘路-莲院路交叉路口;厦门市同安区内厝卫生院发热门诊,文转饭店,内厝卫生院新冠疫苗接种点",闽DU5C37,东南(155),"118.274398,24.669665"
12745,2023-07-21 14:52:06,6 km/h,152.4 km, ,在线 / 行驶,"福建省厦门市翔安区内厝镇上塘路300号;上塘路,上塘路-莲院路交叉路口;文转饭店,厦门市同安区内厝卫生院发热门诊,内厝卫生院新冠疫苗接种点",闽DU5C37,偏南(186),"118.274419,24.669605"
12746,2023-07-21 14:52:07,7 km/h,152.4 km, ,在线 / 行驶,"福建省厦门市翔安区内厝镇上塘路300号;上塘路,上塘路-莲院路交叉路口;文转饭店,厦门市同安区内厝卫生院发热门诊,内厝卫生院新冠疫苗接种点",闽DU5C37,西南(205),"118.274413,24.669588"
12747,2023-07-21 14:52:09,21 km/h,152.4 km, ,在线 / 行驶,"福建省厦门市翔安区内厝镇上塘路300号;上塘路,上塘路-莲院路交叉路口;文转饭店,厦门市同安区内厝卫生院发热门诊,内厝卫生院新冠疫苗接种点",闽DU5C37,西南(247),"118.27435,24.669545"
12748,2023-07-21 14:52:12,28 km/h,152.4 km, ,在线 / 行驶,"福建省厦门市翔安区内厝镇上塘路300号;上塘路,上塘路-莲院路交叉路口;厦门市同安区内厝卫生院发热门诊,内厝卫生院新冠疫苗接种点,翔安区内厝镇卫生院",闽DU5C37,偏西(258),"118.274146,24.669497"
12749,2023-07-21 14:52:16,39 km/h,152.4 km, ,在线 / 行驶,"福建省厦门市翔安区内厝镇上塘路205号;上塘路,上塘路-莲院路交叉路口;食客发饭店,金鑫虹饭店,真真经济小炒",闽DU5C37,偏西(255),"118.27375,24.669413"
12750,2023-07-21 14:52:40,38 km/h,152.7 km, ,在线 / 行驶,"福建省厦门市翔安区内厝镇上塘路357号;上塘路,上塘路-民安大道交叉路口;洪濑鸡爪(民安大道店),育圆乾快餐,珂兴原面包店",闽DU5C37,偏西(269),"118.271377,24.668982"
12751,2023-07-21 14:52:46,42 km/h,152.7 km, ,在线 / 行驶,"福建省厦门市翔安区内厝镇;G324(福昆线);格力电器(民安大道店),美的,叶氏五金",闽DU5C37,偏西(253),"118.270713,24.668918"
12752,2023-07-21 14:52:47,42 km/h,152.7 km, ,在线 / 行驶,"福建省厦门市翔安区内厝镇;G324(福昆线);格力电器(民安大道店),美的,叶氏五金",闽DU5C37,偏西(253),"118.270713,24.668918"
12753,2023-07-21 14:53:16,0 km/h,152.8 km,0秒 / 31秒,在线 / 停车 / ACC开,"福建省厦门市翔安区内厝镇;民安大道;茶小闲(内厝店),中国福利彩票,鑫遂发水暖灯饰",闽DU5C37,正北(0),"118.270142,24.668743"
12754,2023-07-21 14:53:47,0 km/h,152.8 km,31秒 / 31秒,在线 / 停车 / ACC开,"福建省厦门市翔安区内厝镇;民安大道;茶小闲(内厝店),中国福利彩票,鑫遂发水暖灯饰",闽DU5C37,正北(0),"118.270142,24.668743"
12755,2023-07-21 14:54:16,18 km/h,152.8 km, ,在线 / 行驶,"福建省厦门市翔安区内厝镇;G324(福昆线);遂发五金水暖,翔安区永和喜庆烟花爆竹店,特来电充电站(厦门翔安内厝镇文化中心站站)",闽DU5C37,偏西(253),"118.269961,24.668696"
12756,2023-07-21 14:54:47,54 km/h,153.2 km, ,在线 / 行驶,"福建省厦门市翔安区内厝镇内田路606号;民安大道,内田路-民安大道交叉路口;鑫禄饭店,小星鑫黄焖鸡米饭(内厝店),春凤家具",闽DU5C37,偏西(255),"118.266007,24.667889"
12757,2023-07-21 14:55:17,61 km/h,153.8 km, ,在线 / 行驶,"福建省厦门市翔安区马巷镇;民安大道;顺鑫捷车坊,鸿祥发卷闸门厂,延超饭店",闽DU5C37,偏西(257),"118.261403,24.666557"
12758,2023-07-21 14:55:30,47 km/h,154 km, ,在线 / 行驶,"福建省厦门市翔安区马巷街道舫山北二路600号;舫山东路,民安大道-舫山东路交叉路口;齐创公寓,翔安工业园,大鼎石锅鱼(马巷店)",闽DU5C37,偏西(264),"118.259328,24.666213"
12759,2023-07-21 14:55:36,28 km/h,154 km, ,在线 / 行驶,"福建省厦门市翔安区马巷街道;舫山北二路;厦门壮途酒业有限公司,梁家门业,翔安工业园区",闽DU5C37,西南(223),"118.258762,24.666122"
12760,2023-07-21 14:55:38,30 km/h,154 km, ,在线 / 行驶,"福建省厦门市翔安区马巷街道巷东路506号;舫山北二路,舫山北二路-舫山东路交叉路口;翔安工业园,大鼎石锅鱼(马巷店),齐创公寓",闽DU5C37,西南(203),"118.258721,24.666063"
12761,2023-07-21 14:55:40,34 km/h,154 km, ,在线 / 行驶,"福建省厦门市翔安区马巷街道;巷东路;厦门壮途酒业有限公司,梁家门业,翔安工业园区",闽DU5C37,偏南(190),"118.258671,24.665909"
12762,2023-07-21 14:55:42,36 km/h,154.1 km, ,在线 / 行驶,"福建省厦门市翔安区马巷街道;舫山北二路;厦门壮途酒业有限公司,梁家门业,翔安工业园区",闽DU5C37,偏南(176),"118.258664,24.66582"
12763,2023-07-21 14:55:47,51 km/h,154.1 km, ,在线 / 行驶,"福建省厦门市翔安区马巷街道;舫山北二路;翔安区马巷蔬菜批发市场-1号楼,厦门壮途酒业有限公司,梁家门业",闽DU5C37,偏南(178),"118.258675,24.665154"
12764,2023-07-21 14:56:06,4 km/h,154.3 km, ,在线 / 行驶,"福建省厦门市翔安区马巷街道;舫山北二路;建发悦府,万科金色悦城-7号楼,中外合资三弘(厦门)石制品有限公司",闽DU5C37,偏北(346),"118.258674,24.663469"
12765,2023-07-21 14:56:16,0 km/h,154.3 km,0秒 / 0秒,在线 / 停车 / ACC开,"福建省厦门市翔安区马巷街道;舫山北二路;建发悦府,万科金色悦城-7号楼,中外合资三弘(厦门)石制品有限公司",闽DU5C37,正北(0),"118.258669,24.663472"
12766,2023-07-21 14:56:47,1 km/h,154.3 km, ,在线 / 行驶,"福建省厦门市翔安区马巷街道;舫山北二路;建发悦府,万科金色悦城-7号楼,中外合资三弘(厦门)石制品有限公司",闽DU5C37,偏北(346),"118.258681,24.663474"
12767,2023-07-21 14:57:17,0 km/h,154.3 km,0秒 / 0秒,在线 / 停车 / ACC开,"福建省厦门市翔安区马巷街道;舫山北二路;建发悦府,万科金色悦城-7号楼,中外合资三弘(厦门)石制品有限公司",闽DU5C37,正北(0),"118.25868,24.663474"
12768,2023-07-21 14:57:34,6 km/h,154.3 km, ,在线 / 行驶,"福建省厦门市翔安区马巷街道;舫山北二路;建发悦府,万科金色悦城-7号楼,中外合资三弘(厦门)石制品有限公司",闽DU5C37,偏南(177),"118.258682,24.66346"
12769,2023-07-21 14:57:47,34 km/h,154.4 km, ,在线 / 行驶,"福建省厦门市翔安区马巷街道;舫山北二路;万科金色悦城-73号楼,万科金色悦城-7号楼,万科金色悦城-90号楼",闽DU5C37,偏南(181),"118.258692,24.662713"
12770,2023-07-21 14:58:17,30 km/h,154.8 km, ,在线 / 行驶,"福建省厦门市翔安区马巷街道舫阳西二路391-399号;美上路,美上路-舫阳西二路交叉路口;马巷卫生院-预防接种门诊,公共卫生综合楼,马巷卫生院",闽DU5C37,正南(180),"118.258746,24.660042"
12771,2023-07-21 14:58:25,18 km/h,154.8 km, ,在线 / 行驶,"福建省厦门市翔安区马巷街道;舫山北二路;小桔充电充电站(佳菲华新能源舫阳西站),小桔充电充电站(翔安区舫山北二路充电站),厦门市翔安区马巷卫生院-发热门诊",闽DU5C37,偏南(190),"118.258734,24.659455"
12772,2023-07-21 14:58:27,16 km/h,154.8 km, ,在线 / 行驶,"福建省厦门市翔安区马巷街道舫阳西二路391-399号;美上路,美上路-舫阳西二路交叉路口;马巷卫生院发热门诊,马巷卫生院,公共卫生综合楼",闽DU5C37,西南(220),"118.258695,24.659374"
12773,2023-07-21 14:58:29,18 km/h,154.8 km, ,在线 / 行驶,"福建省厦门市翔安区马巷街道舫阳西二路391-399号;美上路,美上路-舫阳西二路交叉路口;马巷卫生院发热门诊,马巷卫生院,公共卫生综合楼",闽DU5C37,偏西(248),"118.258656,24.659351"
12774,2023-07-21 14:58:31,15 km/h,154.8 km, ,在线 / 行驶,"福建省厦门市翔安区马巷街道舫阳西二路391-399号;舫阳西二路,美上路-舫阳西二路交叉路口;舫阳社区卫生服务站,马巷卫生院发热门诊,马巷卫生院",闽DU5C37,偏西(276),"118.258568,24.659332"
12775,2023-07-21 14:58:39,17 km/h,154.9 km, ,在线 / 行驶,"福建省厦门市翔安区马巷街道舫阳西二路391-399号;舫阳西二路,美上路-舫阳西二路交叉路口;马巷卫生院发热门诊,马巷卫生院,公共卫生综合楼",闽DU5C37,偏西(287),"118.258142,24.659367"
12776,2023-07-21 14:58:41,12 km/h,154.9 km, ,在线 / 行驶,"福建省厦门市翔安区马巷街道舫阳西二路391-399号;舫阳西二路,美上路-舫阳西二路交叉路口;马巷卫生院发热门诊,马巷卫生院,公共卫生综合楼",闽DU5C37,西北(332),"118.258122,24.659386"
12777,2023-07-21 14:58:43,7 km/h,154.9 km, ,在线 / 行驶,"福建省厦门市翔安区马巷街道舫阳西二路391-399号;舫阳西二路,美上路-舫阳西二路交叉路口;马巷卫生院发热门诊,马巷卫生院,公共卫生综合楼",闽DU5C37,偏北(9),"118.258106,24.659435"
12778,2023-07-21 14:58:45,5 km/h,154.9 km, ,在线 / 行驶,"福建省厦门市翔安区马巷街道舫阳西二路391-399号;舫阳西二路,美上路-舫阳西二路交叉路口;马巷卫生院发热门诊,马巷卫生院,公共卫生综合楼",闽DU5C37,东北(31),"118.258121,24.659476"
12779,2023-07-21 14:58:47,0 km/h,154.9 km,0秒 / 0秒,在线 / 停车 / ACC开,"福建省厦门市翔安区马巷街道舫阳西二路391-399号;舫阳西二路,美上路-舫阳西二路交叉路口;马巷卫生院发热门诊,马巷卫生院,公共卫生综合楼",闽DU5C37,正北(0),"118.258122,24.659476"
12780,2023-07-21 14:58:55,4 km/h,154.9 km, ,在线 / 行驶,"福建省厦门市翔安区马巷街道舫阳西二路391-399号;舫阳西二路,美上路-舫阳西二路交叉路口;马巷卫生院发热门诊,马巷卫生院,公共卫生综合楼",闽DU5C37,西北(332),"118.258114,24.659508"
12781,2023-07-21 14:59:17,0 km/h,154.9 km,0秒 / 9分1秒,在线 / 停车 / ACC开,"福建省厦门市翔安区马巷街道舫阳西二路391-399号;舫阳西二路,美上路-舫阳西二路交叉路口;马巷卫生院发热门诊,马巷卫生院,公共卫生综合楼",闽DU5C37,正北(0),"118.258077,24.659475"
12782,2023-07-21 14:59:47,0 km/h,154.9 km,30秒 / 9分1秒,在线 / 停车 / ACC开,"福建省厦门市翔安区马巷街道舫阳西二路391-399号;舫阳西二路,美上路-舫阳西二路交叉路口;马巷卫生院发热门诊,马巷卫生院,公共卫生综合楼",闽DU5C37,正北(0),"118.258077,24.659475"
12783,2023-07-21 15:00:17,0 km/h,154.9 km,1分 / 9分1秒,在线 / 停车 / ACC开,"福建省厦门市翔安区马巷街道舫阳西二路391-399号;舫阳西二路,美上路-舫阳西二路交叉路口;马巷卫生院发热门诊,马巷卫生院,公共卫生综合楼",闽DU5C37,正北(0),"118.258077,24.659475"
12784,2023-07-21 15:00:47,0 km/h,154.9 km,1分30秒 / 9分1秒,在线 / 停车 / ACC开,"福建省厦门市翔安区马巷街道舫阳西二路391-399号;舫阳西二路,美上路-舫阳西二路交叉路口;马巷卫生院发热门诊,马巷卫生院,公共卫生综合楼",闽DU5C37,正北(0),"118.258077,24.659475"
12785,2023-07-21 15:01:17,0 km/h,154.9 km,2分 / 9分1秒,在线 / 停车 / ACC开,"福建省厦门市翔安区马巷街道舫阳西二路391-399号;舫阳西二路,美上路-舫阳西二路交叉路口;马巷卫生院发热门诊,马巷卫生院,公共卫生综合楼",闽DU5C37,正北(0),"118.258077,24.659475"
12786,2023-07-21 15:01:47,0 km/h,154.9 km,2分30秒 / 9分1秒,在线 / 停车 / ACC开,"福建省厦门市翔安区马巷街道舫阳西二路391-399号;舫阳西二路,美上路-舫阳西二路交叉路口;马巷卫生院发热门诊,马巷卫生院,公共卫生综合楼",闽DU5C37,正北(0),"118.258077,24.659475"
12787,2023-07-21 15:02:17,0 km/h,154.9 km,3分 / 9分1秒,在线 / 停车 / ACC开,"福建省厦门市翔安区马巷街道舫阳西二路391-399号;舫阳西二路,美上路-舫阳西二路交叉路口;马巷卫生院发热门诊,马巷卫生院,公共卫生综合楼",闽DU5C37,正北(0),"118.258077,24.659475"
12788,2023-07-21 15:02:47,0 km/h,154.9 km,3分30秒 / 9分1秒,在线 / 停车 / ACC开,"福建省厦门市翔安区马巷街道舫阳西二路391-399号;舫阳西二路,美上路-舫阳西二路交叉路口;马巷卫生院发热门诊,马巷卫生院,公共卫生综合楼",闽DU5C37,正北(0),"118.258077,24.659475"
12789,2023-07-21 15:03:17,0 km/h,154.9 km,4分 / 9分1秒,在线 / 停车 / ACC开,"福建省厦门市翔安区马巷街道舫阳西二路391-399号;舫阳西二路,美上路-舫阳西二路交叉路口;马巷卫生院发热门诊,马巷卫生院,公共卫生综合楼",闽DU5C37,正北(0),"118.258077,24.659475"
12790,2023-07-21 15:03:47,0 km/h,154.9 km,4分30秒 / 9分1秒,在线 / 停车 / ACC开,"福建省厦门市翔安区马巷街道舫阳西二路391-399号;舫阳西二路,美上路-舫阳西二路交叉路口;马巷卫生院发热门诊,马巷卫生院,公共卫生综合楼",闽DU5C37,正北(0),"118.258077,24.659475"
12791,2023-07-21 15:04:17,0 km/h,154.9 km,5分 / 9分1秒,在线 / 停车 / ACC开,"福建省厦门市翔安区马巷街道舫阳西二路391-399号;舫阳西二路,美上路-舫阳西二路交叉路口;马巷卫生院发热门诊,马巷卫生院,公共卫生综合楼",闽DU5C37,正北(0),"118.258077,24.659475"
12792,2023-07-21 15:04:47,0 km/h,154.9 km,5分30秒 / 9分1秒,在线 / 停车 / ACC开,"福建省厦门市翔安区马巷街道舫阳西二路391-399号;舫阳西二路,美上路-舫阳西二路交叉路口;马巷卫生院发热门诊,马巷卫生院,公共卫生综合楼",闽DU5C37,正北(0),"118.258077,24.659475"
12793,2023-07-21 15:05:17,0 km/h,154.9 km,6分 / 9分1秒,在线 / 停车 / ACC开,"福建省厦门市翔安区马巷街道舫阳西二路391-399号;舫阳西二路,美上路-舫阳西二路交叉路口;马巷卫生院发热门诊,马巷卫生院,公共卫生综合楼",闽DU5C37,正北(0),"118.258077,24.659475"
