序号,定位时间,行驶速度,行驶里程,已停留/总停留,车辆状态,地理位置,车牌号码,行驶方向,location,TRANSID,INCEPTADDR
37178,9/22/2023 15:12,0 km/h,2159.57 km,0秒 / 2分30秒,在线 / 停车 / ACC开,"福建省厦门市湖里区殿前街道;嘉园路;小蜜蜂超市,中国银行atm,芙蓉苑西区11栋",闽D0TL89,正北(0),"118.111968,24.517628",34535,湖里区湖里街道嘉园路79号之三之2、103、201、202、203、206、207、208室，81号104、204、209室
37179,9/22/2023 15:13,0 km/h,2159.57 km,30秒 / 2分30秒,在线 / 停车 / ACC开,"福建省厦门市湖里区殿前街道;嘉园路;小蜜蜂超市,中国银行atm,芙蓉苑西区11栋",闽D0TL89,正北(0),"118.111968,24.517628",34535,湖里区湖里街道嘉园路79号之三之2、103、201、202、203、206、207、208室，81号104、204、209室
37180,9/22/2023 15:13,0 km/h,2159.57 km,1分 / 2分30秒,在线 / 停车 / ACC开,"福建省厦门市湖里区殿前街道;嘉园路;小蜜蜂超市,中国银行atm,芙蓉苑西区11栋",闽D0TL89,正北(0),"118.111968,24.517628",34535,湖里区湖里街道嘉园路79号之三之2、103、201、202、203、206、207、208室，81号104、204、209室
37181,9/22/2023 15:14,0 km/h,2159.57 km,1分30秒 / 2分30秒,在线 / 停车 / ACC开,"福建省厦门市湖里区殿前街道;嘉园路;小蜜蜂超市,中国银行atm,芙蓉苑西区11栋",闽D0TL89,正北(0),"118.111968,24.517628",34535,湖里区湖里街道嘉园路79号之三之2、103、201、202、203、206、207、208室，81号104、204、209室
37182,9/22/2023 15:14,0 km/h,2159.57 km,2分 / 2分30秒,在线 / 停车 / ACC开,"福建省厦门市湖里区殿前街道;嘉园路;小蜜蜂超市,中国银行atm,芙蓉苑西区11栋",闽D0TL89,正北(0),"118.111968,24.517628",34535,湖里区湖里街道嘉园路79号之三之2、103、201、202、203、206、207、208室，81号104、204、209室
37183,9/22/2023 15:15,0 km/h,2159.57 km,2分30秒 / 2分30秒,在线 / 停车 / ACC开,"福建省厦门市湖里区殿前街道;嘉园路;小蜜蜂超市,中国银行atm,芙蓉苑西区11栋",闽D0TL89,正北(0),"118.111968,24.517628",34535,湖里区湖里街道嘉园路79号之三之2、103、201、202、203、206、207、208室，81号104、204、209室
37184,9/22/2023 15:15,6 km/h,2159.58 km, ,在线 / 行驶,"福建省厦门市湖里区湖里街道悦华路223之;悦华路,悦华路-马浦路交叉路口;513特色烧酒档(龙腾花园一期店),蟹小刀肉蟹煲(马垅店),猪角·闽南猪脚饭(马垅店)",闽D0TL89,西北(309),"118.111914,24.517618",34535,湖里区湖里街道嘉园路79号之三之2、103、201、202、203、206、207、208室，81号104、204、209室
37185,9/22/2023 15:15,8 km/h,2159.58 km, ,在线 / 行驶,"福建省厦门市湖里区湖里街道悦华路223之;悦华路,悦华路-马浦路交叉路口;513特色烧酒档(龙腾花园一期店),蟹小刀肉蟹煲(马垅店),猪角·闽南猪脚饭(马垅店)",闽D0TL89,偏西(291),"118.111897,24.517627",34535,湖里区湖里街道嘉园路79号之三之2、103、201、202、203、206、207、208室，81号104、204、209室
37298,9/22/2023 15:40,5 km/h,2161.18 km, ,在线 / 行驶,"福建省厦门市湖里区湖里街道;华泰路79号;宁德时代,厦门盛元汽车有限公司,联泰大厦",闽D0TL89,西北(301),"118.100768,24.515022",69,湖里区湖里街道和悦里46号
37299,9/22/2023 15:40,9 km/h,2161.19 km, ,在线 / 行驶,"福建省厦门市湖里区湖里街道;华泰路79号;宁德时代,厦门盛元汽车有限公司,联泰大厦",闽D0TL89,西北(315),"118.100718,24.515057",69,湖里区湖里街道和悦里46号
37300,9/22/2023 15:40,15 km/h,2161.2 km, ,在线 / 行驶,"福建省厦门市湖里区;华泰路81号;厦门盛元汽车有限公司,联泰大厦,兴湖商务大厦",闽D0TL89,偏北(352),"118.10069,24.515111",69,湖里区湖里街道和悦里46号
