origin,destination,origin_location,destination_location,distance,duration,distance_r,duration_r,distance_ratio,duration_ratio
2242215,1623916,"118.094685,24.469211","118.243752,24.662637",33524,2432,170,159,0.005070993914807302,0.06537828947368421
1623916,2238680,"118.243752,24.662637","118.240781,24.652759",1593,380,2130,1741,1.3370998116760828,4.581578947368421
2238680,2237046,"118.240781,24.652759","118.08784,24.46672",35418,2349,25090,2401,0.7083968603534926,1.022137079608344
2237046,5304,"118.08784,24.46672","118.086513,24.457",1853,460,1250,270,0.6745817593092283,0.5869565217391305
5304,12875,"118.086513,24.457","118.082275,24.452753",1499,536,1060,270,0.7071380920613742,0.503731343283582
12875,620,"118.082275,24.452753","118.084423,24.454839",1562,826,1130,1775,0.7234314980793854,2.148910411622276
620,1801,"118.084423,24.454839","118.083479,24.454477",123,35,110,60,0.8943089430894309,1.7142857142857142
1801,712239,"118.083479,24.454477","118.094665,24.463214",2650,1119,970,179,0.3660377358490566,0.15996425379803395
712239,700873,"118.094665,24.463214","118.098879,24.463112",731,182,570,330,0.7797537619699042,1.8131868131868132
700873,1029,"118.098879,24.463112","118.104369,24.464256",1128,232,900,270,0.7978723404255319,1.1637931034482758
1029,516,"118.104369,24.464256","118.10227,24.52382",9166,1576,16540,1200,1.804494872354353,0.7614213197969543
516,2541174,"118.10227,24.52382","118.09519,24.517386",1238,358,820,180,0.6623586429725363,0.5027932960893855
2541174,53312,"118.09519,24.517386","118.100347,24.511421",1355,361,2460,1219,1.8154981549815499,3.376731301939058
53312,82,"118.100347,24.511421","118.105134,24.526587",2863,526,4760,1080,1.662591687041565,2.053231939163498
82,292806,"118.105134,24.526587","118.098876,24.469175",10422,1353,320,91,0.03070427940894262,0.0672579453067258
292806,2226347,"118.098876,24.469175","118.092768,24.471456",8777,5485,240,300,0.02734419505525806,0.054694621695533276
2226347,12905,"118.092768,24.471456","118.159914,24.474626",8129,2086,1950,719,0.239881904293271,0.34467881112176413
12905,583,"118.159914,24.474626","118.166877,24.471402",1188,247,820,270,0.6902356902356902,1.0931174089068827
583,721,"118.166877,24.471402","118.168178,24.472979",449,109,270,90,0.6013363028953229,0.8256880733944955
721,349,"118.168178,24.472979","118.171002,24.47446",796,242,1290,272,1.620603015075377,1.1239669421487604
349,56820,"118.171002,24.47446","118.18082,24.510813",5859,1176,6680,1802,1.140126301416624,1.532312925170068
56820,2244270,"118.18082,24.510813","118.17316,24.504318",1691,524,1340,631,0.7924305144884684,1.2041984732824427
2244270,386873,"118.17316,24.504318","118.159955,24.512712",3282,785,2370,630,0.7221206581352834,0.802547770700637
386873,1181133,"118.159955,24.512712","118.158819,24.513683",280,68,160,30,0.5714285714285714,0.4411764705882353
1181133,1235269,"118.158819,24.513683","118.16295,24.532164",2776,557,910,179,0.32780979827089335,0.3213644524236984
1235269,2239120,"118.16295,24.532164","118.163051,24.534681",859,156,1600,390,1.8626309662398137,2.5
2239120,582,"118.163051,24.534681","118.074162,24.464243",18551,1397,50,60,0.002695272492048946,0.04294917680744453
582,12813,"118.074162,24.464243","118.085613,24.465089",1440,382,910,120,0.6319444444444444,0.31413612565445026
12813,1076327,"118.085613,24.465089","118.098308,24.466924",1504,392,2370,629,1.5757978723404256,1.6045918367346939
1076327,1340585,"118.098308,24.466924","118.099442,24.467097",366,127,2340,421,6.39344262295082,3.3149606299212597
