distance,duration,origin,destination
23653,1426,0,785
25033,1606,0,787
24464,1536,0,789
24801,1540,0,790
26900,1870,0,794
24296,1534,0,792
25193,1633,0,791
24303,1633,0,793
24315,1696,0,788
21372,1439,0,795
20226,1559,0,796
24581,1544,0,801
24984,1657,0,799
23483,1608,0,798
25970,1714,0,800
24444,1541,0,797
24539,1596,0,805
23183,1491,0,807
24465,1568,0,808
24248,1487,0,803
23605,1394,0,802
22561,1411,0,809
26481,1760,0,811
23770,1553,0,812
24175,1488,0,810
24452,1508,0,814
25639,1657,0,813
22381,1426,0,804
24865,1605,0,817
23931,1516,0,816
22084,1376,0,806
22934,1526,0,819
24107,1462,0,821
23883,1646,0,815
25728,1621,0,824
24903,1537,0,822
23380,1576,0,823
22862,1486,0,820
23735,1413,0,826
24574,1493,0,827
19133,1351,0,828
22860,1486,0,829
25848,1798,0,831
26510,1761,0,832
25358,1637,0,833
25441,1615,0,830
24937,1655,0,835
24494,1673,0,834
25013,1924,0,818
23921,1624,0,825
24568,1537,0,836
27723,1625,0,837
22380,1414,0,838
19715,1372,0,839
25096,1654,0,842
24425,1536,0,840
24614,1551,0,843
26584,1792,0,844
27591,1606,0,845
21524,1833,0,846
24303,1633,0,841
24423,1509,0,848
20395,1151,0,850
25614,1709,0,851
24756,1545,0,852
24137,1507,0,853
6158,875,0,849
22599,1545,0,855
24733,1534,0,847
25251,1586,0,854
24438,1529,0,856
24145,1495,0,857
26835,1761,0,858
25235,1568,0,859
24554,1558,0,860
24336,1496,0,861
23042,1584,0,862
24774,1522,0,863
24289,1485,0,866
24148,1496,0,871
25509,1646,0,869
23762,1428,0,870
24309,1688,0,865
25374,1644,0,864
25429,1706,0,872
27609,1718,0,867
23601,1522,0,875
25161,1624,0,868
25423,1672,0,873
22658,1461,0,877
25409,1629,0,876
23536,1531,0,878
26289,1742,0,882
20235,1517,0,880
24480,1526,0,874
24237,1486,0,881
25515,1631,0,883
23419,1595,0,879
25684,1680,0,888
21259,1346,0,886
28031,1654,0,889
24270,1634,0,887
24586,1559,0,884
25539,1688,0,890
27839,1603,0,891
24599,1547,0,894
23662,1409,0,895
24438,1529,0,892
24148,1505,0,893
24117,1473,0,897
25655,1677,0,896
26028,1748,0,885
26074,1676,0,898
25135,1625,0,902
22974,1478,0,900
26099,1679,0,901
23056,1522,0,899
23646,1405,0,904
25195,1615,0,905
26149,1913,0,906
24498,1526,0,908
25374,1644,0,909
25752,1623,0,910
25893,1700,0,903
28426,1700,0,911
24708,1568,0,912
24281,1529,0,913
24514,1535,0,914
25450,1615,0,907
24222,1517,0,916
24250,1492,0,915
23936,1418,0,918
20955,1260,0,919
24355,1569,0,922
23166,1589,0,921
24373,1478,0,923
25417,1706,0,917
25242,1589,0,925
22505,1518,0,926
24227,1519,0,920
28426,1700,0,927
25397,1688,0,928
24267,1480,0,929
25304,1684,0,924
23056,1522,0,930
24427,1532,0,931
26202,1684,0,932
25444,1713,0,933
25106,1629,0,935
24245,1632,0,934
25418,1697,0,936
25526,1622,0,937
24669,1547,0,940
24213,1536,0,941
25762,1639,0,945
25729,1628,0,943
25310,1638,0,942
23043,1517,0,944
23865,1486,0,938
24343,1677,0,939
25408,1599,0,946
25866,1785,0,947
22487,1335,0,951
24512,1576,0,948
25219,1584,0,949
21648,1406,0,952
26023,1714,0,955
22951,1443,0,950
24464,1529,0,958
24463,1549,0,957
6702,738,0,959
27281,1601,0,953
24384,1527,0,954
25837,1627,0,960
24230,1572,0,961
25612,1651,0,963
24264,1587,0,962
24741,1613,0,964
22953,1426,0,965
24370,1502,0,967
25726,1762,0,969
22973,1450,0,956
26032,1810,0,970
25294,1652,0,971
26708,1916,0,972
25974,1807,0,973
26217,1668,0,966
25351,1918,0,974
25930,1836,0,977
27042,2091,0,978
31635,2032,0,979
27487,1748,0,980
26341,1674,0,981
24896,1778,0,976
31148,2099,0,968
29201,1629,0,982
29846,1772,0,983
27386,1644,0,985
29878,1773,0,987
30290,1930,0,975
26216,1979,0,986
28151,1940,0,988
25069,1669,0,990
25573,1744,0,989
29152,1662,0,991
26058,1859,0,984
26040,1853,0,993
26791,1515,0,994
30479,1951,0,992
29576,1765,0,995
25932,1811,0,997
29255,1976,0,996
25903,1814,0,999
26691,1909,0,998
25611,1717,0,1000
25818,1783,0,1002
25038,1626,0,1003
29518,2029,0,1001
27675,2348,0,1004
25245,1643,0,1005
26294,1892,0,1007
25144,1817,0,1008
29747,1800,0,1011
26192,1825,0,1006
25991,1838,0,1009
30647,1852,0,1010
28785,1847,0,1012
26035,1852,0,1013
25651,1793,0,1014
25604,1699,0,1017
30711,1925,0,1018
26014,1848,0,1016
25524,1718,0,1015
29766,1789,0,1019
26042,1846,0,1021
28788,1897,0,1020
25214,1894,0,1022
26479,1821,0,1023
26555,1839,0,1026
26019,1847,0,1025
24796,1617,0,1029
25802,1796,0,1028
29474,1687,0,1030
19996,1274,0,1033
27518,1688,0,1027
25856,1803,0,1032
25812,1765,0,1031
24499,1703,0,1024
25261,1855,0,1035
27469,1752,0,1034
29768,1749,0,1036
17027,1123,0,1040
24943,1771,0,1038
25073,1671,0,1037
25253,1852,0,1039
25863,1777,0,1041
30496,1948,0,1042
25806,1723,0,1043
30469,1945,0,1044
25780,1757,0,1046
31413,1880,0,1045
26041,1854,0,1051
25930,1811,0,1052
29463,2002,0,1047
29232,1629,0,1054
25379,1747,0,1049
26766,1732,0,1053
29852,1775,0,1048
27580,1699,0,1055
30225,1910,0,1050
25876,1874,0,1056
24795,1617,0,1060
25457,1676,0,1058
26787,1960,0,1057
26030,1850,0,1061
29117,1923,0,1062
25649,1721,0,1063
21856,1313,0,1064
28048,1921,0,1065
29665,1592,0,1067
28938,1910,0,1066
28601,2071,0,1059
29602,1713,0,1069
25180,1695,0,1070
31626,2085,0,1071
24822,1582,0,1075
25944,1800,0,1072
29191,1964,0,1074
27944,1913,0,1073
41694,2437,0,1068
19530,1287,0,1076
26019,1838,0,1077
41468,2421,0,1078
27036,1852,0,1080
25781,1746,0,1079
27462,1747,0,1083
24855,1799,0,1085
26170,1880,0,1086
26573,1522,0,1082
25811,1821,0,1089
23383,1576,0,1087
24916,1782,0,1081
26530,1767,0,1088
26821,1818,0,1084
26504,1826,0,1090
25501,1741,0,1091
27504,1684,0,1093
25459,1683,0,1092
29709,1956,0,1094
25045,1586,0,1096
28883,2058,0,1095
26217,1663,0,1097
26661,1910,0,1099
25925,1808,0,1103
29087,1961,0,1102
28033,1925,0,1101
25839,1796,0,1100
25522,1716,0,1105
25003,1860,0,1098
26937,1891,0,1106
25505,1775,0,1109
26491,1770,0,1104
24846,1770,0,1107
24921,1781,0,1108
29488,2037,0,1112
30140,1653,0,1111
25958,1829,0,1116
30105,2114,0,1115
27013,1826,0,1110
25754,1792,0,1119
25323,1851,0,1113
25928,1809,0,1117
29137,1972,0,1114
31317,2019,0,1121
26708,1883,0,1120
29343,2014,0,1123
25278,1689,0,1124
29463,2140,0,1126
38813,2095,0,1128
28850,2015,0,1125
30174,1943,0,1118
26169,1951,0,1129
25645,1715,0,1130
27338,1615,0,1133
29994,1874,0,1122
28992,1916,0,1132
26981,1611,0,1127
29786,2089,0,1135
27530,1689,0,1136
25526,1719,0,1131
26715,1930,0,1139
30507,1865,0,1140
26976,1609,0,1137
31845,2109,0,1138
29574,1702,0,1134
29824,1773,0,1141
28798,1882,0,1142
29534,1894,0,1147
24908,1780,0,1144
25809,1909,0,1146
26788,1768,0,1143
26080,1873,0,1145
25223,1585,0,1149
28141,2056,0,1148
25797,1904,0,1150
26446,1705,0,1153
28865,1921,0,1151
25705,1805,0,1155
25667,1722,0,1156
29601,1706,0,1157
23365,1614,0,1160
26043,1864,0,1152
21753,1344,0,1161
21803,1272,0,1163
22190,1334,0,1158
24885,1776,0,1154
22792,1444,0,1165
28026,1766,0,1164
24432,1587,0,1166
23498,1530,0,1159
