TransID,Xiamen.经度,Xiamen.纬度,combine
6767,118.254256,24.650166,"118.254256,24.650166"
6794,118.254256,24.650166,"118.254256,24.650166"
6795,118.254256,24.650166,"118.254256,24.650166"
6796,118.254256,24.650166,"118.254256,24.650166"
7253,118.103757,24.584482,"118.103757,24.584482"
7373,118.108574,24.469388,"118.108574,24.469388"
7374,118.108574,24.469388,"118.108574,24.469388"
7393,118.254152,24.664728,"118.254152,24.664728"
7335,118.254152,24.664728,"118.254152,24.664728"
7395,118.159972,24.489604,"118.159972,24.489604"
7396,118.159972,24.489604,"118.159972,24.489604"
7337,118.179501,24.502857,"118.179501,24.502857"
7338,118.179501,24.502857,"118.179501,24.502857"
6663,118.087813,24.452705,"118.087813,24.452705"
6664,118.087813,24.452705,"118.087813,24.452705"
6711,118.127271,24.488637,"118.127271,24.488637"
6712,118.127271,24.488637,"118.127271,24.488637"
6743,118.254256,24.650166,"118.254256,24.650166"
6745,118.254256,24.650166,"118.254256,24.650166"
6824,118.04499,24.623495,"118.044990,24.623495"
6825,118.018543,24.63794,"118.018543,24.637940"
6828,118.117469,24.693033,"118.117469,24.693033"
6829,118.204426,24.7758,"118.204426,24.775800"
6847,118.147665,24.706072,"118.147665,24.706072"
6851,118.16494,24.721593,"118.164940,24.721593"
6852,118.158546,24.736816,"118.158546,24.736816"
7416,117.981201,24.53652,"117.981201,24.536520"
7417,117.981201,24.53652,"117.981201,24.536520"
7420,117.93914,24.56185,"117.939140,24.561850"
7421,117.93914,24.56185,"117.939140,24.561850"
7423,118.172212,24.472174,"118.172212,24.472174"
7424,118.172212,24.472174,"118.172212,24.472174"
7486,118.124019,24.485444,"118.124019,24.485444"
7487,118.124019,24.485444,"118.124019,24.485444"
7555,117.820309,24.437499,"117.820309,24.437499"
7496,117.811333,24.430747,"117.811333,24.430747"
7965,118.016433,24.523362,"118.016433,24.523362"
7966,118.016433,24.523362,"118.016433,24.523362"
7990,118.037041,24.498547,"118.037041,24.498547"
7991,118.037041,24.498547,"118.037041,24.498547"
7992,117.99884,24.52428,"117.998840,24.524280"
8013,117.99884,24.52428,"117.998840,24.524280"
7476,118.108557,24.459137,"118.108557,24.459137"
7477,118.108557,24.459137,"118.108557,24.459137"
7473,118.096666,24.469955,"118.096666,24.469955"
7474,118.096666,24.469955,"118.096666,24.469955"
7483,118.106458,24.467054,"118.106458,24.467054"
7537,118.107581,24.511135,"118.107581,24.511135"
7719,118.007546,24.598598,"118.007546,24.598598"
7720,118.007546,24.598598,"118.007546,24.598598"
7559,118.107581,24.511135,"118.107581,24.511135"
7582,118.159256,24.488578,"118.159256,24.488578"
7583,118.159256,24.488578,"118.159256,24.488578"
7478,118.148577,24.727251,"118.148577,24.727251"
7479,118.148577,24.727251,"118.148577,24.727251"
7485,118.106458,24.467054,"118.106458,24.467054"
7499,117.978958,24.564798,"117.978958,24.564798"
7500,117.978958,24.564798,"117.978958,24.564798"
7560,117.965988,24.512678,"117.965988,24.512678"
7561,117.965988,24.512678,"117.965988,24.512678"
7562,118.007546,24.598598,"118.007546,24.598598"
7563,118.007546,24.598598,"118.007546,24.598598"
8675,118.02407,24.59178,"118.024070,24.591780"
8676,118.02407,24.59178,"118.024070,24.591780"
8681,118.153354,24.524907,"118.153354,24.524907"
