运输地址ID,线路名称,Xiamen.经度,Xiamen.纬度,location
2226806,线路4,118.163605,24.536215,"118.163605,24.536215"
2228106,线路6,118.155701,24.523157,"118.155701,24.523157"
2229547,线路4,118.149509,24.509501,"118.149509,24.509501"
2228761,线路1,118.086641,24.451664,"118.086641,24.451664"
2236875,线路2,117.964783,24.580929,"117.964783,24.580929"
2236882,线路3,117.964783,24.580929,"117.964783,24.580929"
2236918,线路3,117.964783,24.580929,"117.964783,24.580929"
2236923,线路4,117.964783,24.580929,"117.964783,24.580929"
2236928,线路7,117.964783,24.580929,"117.964783,24.580929"
2236954,线路9,117.964783,24.580929,"117.964783,24.580929"
2236956,线路10,117.964783,24.580929,"117.964783,24.580929"
2236958,线路12,117.964783,24.580929,"117.964783,24.580929"
2236972,线路11,117.964783,24.580929,"117.964783,24.580929"
2236984,线路12,117.964783,24.580929,"117.964783,24.580929"
2236988,线路5,117.964783,24.580929,"117.964783,24.580929"
2236990,线路12,117.964783,24.580929,"117.964783,24.580929"
2236701,线路12,118.038787,24.454194,"118.038787,24.454194"
2236698,线路8,118.058465,24.601792,"118.058465,24.601792"
2236886,线路4,117.964783,24.580929,"117.964783,24.580929"
2236120,线路4,117.964783,24.580929,"117.964783,24.580929"
2236888,线路1,117.964783,24.580929,"117.964783,24.580929"
2236397,线路12,117.962071,24.533206,"117.962071,24.533206"
2236166,线路4,118.171664,24.505393,"118.171664,24.505393"
2236790,线路8,118.122295,24.653878,"118.122295,24.653878"
2237033,线路11,118.007546,24.598598,"118.007546,24.598598"
2238085,线路4,118.162088,24.528988,"118.162088,24.528988"
2238124,线路9,118.251719,24.615329,"118.251719,24.615329"
2244345,线路6,118.13978,24.504711,"118.139780,24.504711"
2237408,线路11,117.964783,24.580929,"117.964783,24.580929"
2244344,线路9,118.243579,24.567386,"118.243579,24.567386"
2240901,,118.140663,24.500073,"118.140663,24.500073"
2244856,线路3,118.126296,24.489771,"118.126296,24.489771"
2243976,线路3,118.108742,24.489887,"118.108742,24.489887"
2243658,线路4,118.155416,24.480011,"118.155416,24.480011"
2244499,线路2,118.095073,24.469526,"118.095073,24.469526"
2243754,线路4,118.171664,24.505393,"118.171664,24.505393"
2240591,线路6,118.1535,24.525496,"118.153500,24.525496"
2237179,线路11,118.007546,24.598598,"118.007546,24.598598"
2240581,线路3,118.112831,24.473196,"118.112831,24.473196"
2243757,线路8,118.09126,24.585508,"118.091260,24.585508"
2238963,线路8,118.150068,24.654921,"118.150068,24.654921"
2238968,线路5,118.144743,24.492225,"118.144743,24.492225"
2238972,线路7,118.101484,24.504789,"118.101484,24.504789"
2238881,线路8,118.076823,24.632893,"118.076823,24.632893"
2242105,线路11,118.007546,24.598598,"118.007546,24.598598"
2239099,线路10,118.254691,24.738429,"118.254691,24.738429"
2239132,线路4,118.14573,24.47871,"118.145730,24.478710"
2239496,线路12,117.951427,24.525334,"117.951427,24.525334"
2238814,线路11,117.983785,24.597214,"117.983785,24.597214"
2241468,线路7,118.099358,24.520123,"118.099358,24.520123"
2241477,线路1,118.086004,24.455354,"118.086004,24.455354"
2241485,线路8,118.034349,24.627107,"118.034349,24.627107"
2241490,线路4,118.172933,24.467813,"118.172933,24.467813"
2241495,线路7,118.110277,24.514338,"118.110277,24.514338"
1831539,线路4,118.161039,24.510469,"118.161039,24.510469"
2236381,线路21,118.087433,24.453163,"118.087433,24.453163"
2241510,线路8,118.122295,24.653878,"118.122295,24.653878"
2238597,线路11,118.01769,24.577044,"118.017690,24.577044"
2238924,线路3,118.086593,24.498061,"118.086593,24.498061"
2244217,线路6,118.124979,24.510076,"118.124979,24.510076"
2241537,线路11,118.042085,24.564369,"118.042085,24.564369"
2241556,线路12,118.039439,24.497422,"118.039439,24.497422"
2241558,线路1,118.088899,24.45085,"118.088899,24.450850"
2241559,线路11,118.040836,24.569057,"118.040836,24.569057"
2241560,线路2,118.074317,24.46018,"118.074317,24.460180"
2241561,线路1,118.08426,24.455598,"118.084260,24.455598"
2241565,线路4,118.176124,24.474295,"118.176124,24.474295"
2241568,线路2,118.084902,24.460519,"118.084902,24.460519"
2241572,线路1,118.079323,24.453517,"118.079323,24.453517"
2241574,线路7,118.089267,24.498653,"118.089267,24.498653"
2242158,线路7,118.115613,24.506814,"118.115613,24.506814"
2241595,线路12,118.055063,24.493879,"118.055063,24.493879"
2241607,线路11,117.997091,24.603403,"117.997091,24.603403"
2241619,线路8,118.034762,24.628128,"118.034762,24.628128"
2242224,线路6,118.155701,24.523157,"118.155701,24.523157"
2242233,线路4,118.179501,24.502857,"118.179501,24.502857"
2242244,线路11,118.060024,24.577006,"118.060024,24.577006"
2241633,线路11,118.044251,24.562158,"118.044251,24.562158"
2239470,线路8,118.104804,24.59334,"118.104804,24.593340"
2239479,线路10,118.123162,24.701559,"118.123162,24.701559"
